SourceId,Target,DaysSinceLast,LastPayment,DaysSinceLast2,LastPayment2
2bc68eba-e8af-4af7-9280-71a01676e389-0008925214,51.93,7,24.68,7,34.16
2bc68eba-e8af-4af7-9280-71a01676e389-0008925214,34.62,7,51.93,7,24.68
2bc68eba-e8af-4af7-9280-71a01676e389-0008925214,24.39,7,34.62,7,51.93
c89c907c-1c31-4203-825b-2328cad73048-0012158912,228.92,14,148.92,12,228.92
ae35a7c9-b380-4a3d-a0f7-73afa532ec51-0010502655,73.85,14,73.85,14,73.85
ae35a7c9-b380-4a3d-a0f7-73afa532ec51-0010502655,73.85,14,73.85,14,73.85
f7488e63-68f0-4e71-96cc-35d935b466fc-0010445344,53.08,7,53.08,7,53.08
f7488e63-68f0-4e71-96cc-35d935b466fc-0010445344,53.08,7,53.08,7,53.08
f7488e63-68f0-4e71-96cc-35d935b466fc-0010445344,53.08,7,53.08,7,53.08
f7488e63-68f0-4e71-96cc-35d935b466fc-0010445344,53.08,7,53.08,7,53.08
6f10adaa-d68a-4072-a404-4cd39c0f9c16-0010024093,95.77,6,30.03,8,136.51
6f10adaa-d68a-4072-a404-4cd39c0f9c16-0010024093,95.77,7,95.77,6,30.03
6f10adaa-d68a-4072-a404-4cd39c0f9c16-0010024093,70.77,6,95.77,7,95.77
6f10adaa-d68a-4072-a404-4cd39c0f9c16-0010024093,95.77,7,70.77,6,95.77
372a2e5d-0c77-4169-b8e0-6058ca7711dc-0010149687,125.31,7,125.31,3,57.93
372a2e5d-0c77-4169-b8e0-6058ca7711dc-0010149687,101.69,7,125.31,7,125.31
372a2e5d-0c77-4169-b8e0-6058ca7711dc-0010149687,59.33,6,101.69,7,125.31
372a2e5d-0c77-4169-b8e0-6058ca7711dc-0010149687,125.31,7,59.33,6,101.69
00916863-d6b4-4a3f-ac45-119847dc6417-0010009951,74.08,7,74.08,7,74.08
00916863-d6b4-4a3f-ac45-119847dc6417-0010009951,74.08,7,74.08,7,74.08
00916863-d6b4-4a3f-ac45-119847dc6417-0010009951,74.08,7,74.08,7,74.08
00916863-d6b4-4a3f-ac45-119847dc6417-0010009951,74.08,7,74.08,7,74.08
6f10adaa-d68a-4072-a404-4cd39c0f9c16-0542818871,417,14,417,14,687.4
6f10adaa-d68a-4072-a404-4cd39c0f9c16-0542818871,417,14,417,14,417
4eddf230-8be8-485d-b478-e218b925faa4-0010484417,195.08,14,195.08,15,195.08
4eddf230-8be8-485d-b478-e218b925faa4-0010484417,195.08,13,195.08,14,195.08
a8e624a4-ae01-4d10-a7de-d0e5f2cf7aef-0558468531,334.15,8,334.15,6,334.15
a8e624a4-ae01-4d10-a7de-d0e5f2cf7aef-0558468531,235.85,6,334.15,8,334.15
a8e624a4-ae01-4d10-a7de-d0e5f2cf7aef-0558468531,235.85,9,235.85,6,334.15
a8e624a4-ae01-4d10-a7de-d0e5f2cf7aef-0558468531,235.85,6,235.85,9,235.85
4b7d9664-aeb8-4f9f-8fd5-1bec07cbd018-0010808763,126.46,14,379.38,12,126.46
4b7d9664-aeb8-4f9f-8fd5-1bec07cbd018-0010808763,126.46,7,126.46,14,379.38
5258a737-6e54-4066-9c51-e28687ac4847-0011884726,182.93,14,152.99,14,116.59
5258a737-6e54-4066-9c51-e28687ac4847-0011884726,50,13,182.93,14,152.99
5258a737-6e54-4066-9c51-e28687ac4847-0011884726,204.3,1,50,13,182.93
9f8255a9-1a21-41e7-a880-6a3f9ff2fb38-0012444457,256,15,256,14,256
204b1b5b-5ba2-42e5-b310-4b02dd5ffe89-0012412179,154.62,7,72.67,6,128.32
204b1b5b-5ba2-42e5-b310-4b02dd5ffe89-0012412179,154.62,7,154.62,7,72.67
204b1b5b-5ba2-42e5-b310-4b02dd5ffe89-0012412179,154.62,7,154.62,7,154.62
d75d3f2b-8ca7-433f-81a0-ba1d00c9ce35-0009565180,314.76,10,314.76,18,314.76
